RANK,NAME,REVENUES ($M),REVENUE PERCENT CHANGE,PROFITS ($M),PROFITS PERCENT CHANGE,ASSETS ($M),"MARKET VALUE — AS OF MARCH 29, 2019 ($M)",CHANGE IN RANK (FULL 1000),EMPLOYEES,CHANGE IN RANK (500 ONLY),URL_FORBES,URL_COMPANY,SEARCH_URL,URL_COMPANY_SUFFIX,URL_LEADERSHIP,URL_LEADERSHIP_ROOT,URL_DOMAIN
74,Best Buy,"$42,879.0",1.7%,"$1,464.0",46.4%,"$12,901.0","$19,030.2",-2,"125,000",-2,https://fortune.com/fortune500/2019/best-buy,http://www.bestbuy.com,https://www.google.com/search?q=Best Buy+corporate+leadership+page,bestbuy.com,https://corporate.bestbuy.com/about-best-buy/,https://corporate.bestbuy.com,.com
75,Liberty Mutual Insurance Group,"$42,685.0",-0.0%,"$2,160.0",12605.9%,"$125,989.0",-,-7,"50,000",-7,https://fortune.com/fortune500/2019/liberty-mutual-insurance-group,http://www.libertymutual.com,https://www.google.com/search?q=Liberty Mutual Insurance Group+corporate+leadership+page,libertymutual.com,,,.com
76,Merck,"$42,294.0",5.4%,"$6,220.0",159.8%,"$82,637.0","$214,680.1",2,"69,000",2,https://fortune.com/fortune500/2019/merck,http://www.merck.com,https://www.google.com/search?q=Merck+corporate+leadership+page,merck.com,https://www.merck.com/about/leadership/home.html,https://www.merck.com,.com
77,Honeywell International,"$41,802.0",3.1%,"$6,765.0",308.8%,"$57,773.0","$115,752.5",-,"114,000",-,https://fortune.com/fortune500/2019/honeywell-international,http://www.honeywell.com,https://www.google.com/search?q=Honeywell International+corporate+leadership+page,honeywell.com,https://www.honeywell.com/en-us/company/leadership,https://www.honeywell.com,.com
78,United Continental Holdings,"$41,303.0",9.5%,"$2,129.0",-0.1%,"$44,792.0","$21,279.5",3,"92,000",3,https://fortune.com/fortune500/2019/united-continental-holdings,http://www.united.com,https://www.google.com/search?q=United Continental Holdings+corporate+leadership+page,united.com,http://ir.united.com/corporate-governance/company-leadership,http://ir.united.com,.com
79,TIAA,"$41,052.1",14.0%,"$1,560.5",48.7%,"$568,190.2",-,5,"17,643",5,https://fortune.com/fortune500/2019/tiaa,http://www.tiaa.org,https://www.google.com/search?q=TIAA+corporate+leadership+page,tiaa.org,https://www.tiaa.org/public/about-tiaa/leadership-team,https://www.tiaa.org,.org
80,Tyson Foods,"$40,052.0",4.7%,"$3,024.0",70.5%,"$29,109.0","$25,360.5",-,"121,000",-,https://fortune.com/fortune500/2019/tyson-foods,http://www.tysonfoods.com,https://www.google.com/search?q=Tyson Foods+corporate+leadership+page,tysonfoods.com,https://www.tysonfoods.com/who-we-are/our-people/leadership,https://www.tysonfoods.com,.com
81,Oracle,"$39,831.0",5.6%,"$3,825.0",-59.0%,"$137,264.0","$183,562.2",1,"137,000",1,https://fortune.com/fortune500/2019/oracle,http://www.oracle.com,https://www.google.com/search?q=Oracle+corporate+leadership+page,oracle.com,https://www.oracle.com/corporate/Executives/,https://www.oracle.com,.com
82,Allstate,"$39,815.0",3.4%,"$2,252.0",-29.4%,"$112,249.0","$31,264.3",-3,"45,420",-3,https://fortune.com/fortune500/2019/allstate,http://www.allstate.com,https://www.google.com/search?q=Allstate+corporate+leadership+page,allstate.com,https://www.allstate.com/about/leadership.aspx,https://www.allstate.com,.com
83,World Fuel Services,"$39,750.3",18.0%,$127.7,-,"$5,676.9","$1,940.6",8,"5,000",8,https://fortune.com/fortune500/2019/world-fuel-services,http://www.wfscorp.com,https://www.google.com/search?q=World Fuel Services+corporate+leadership+page,wfscorp.com,https://www.wfscorp.com/en/About-Us/Leadership,https://www.wfscorp.com,.com
